slice,grayvalue,area,mean_contrast,max_contrast,cx,cy
1181,112,8,3.8516517,6.8594785,578,195
1183,110,9,4.005407,6.752317,578,195
1184,82,4,3.449398,4.708702,578,194
1220,103,6,2.4068387,5.821191,640,830
1221,99,6,2.778223,5.3699875,640,830
1223,68,1,3.6900578,3.6900578,606,752
1259,150,6,2.2610922,4.943744,856,620
1260,147,6,2.318301,4.828197,856,620
1265,81,6,2.4118712,5.3979974,828,599
1293,103,14,3.5442836,5.9589806,649,1096
1308,148,6,2.2450097,5.2757726,322,717
1309,144,6,2.1527934,4.8297453,322,717
1469,129,6,3.530037,4.7067156,440,1072
1470,129,6,2.881423,5.057191,440,1072
1531,112,6,3.020376,4.9526663,460,884
1532,120,6,3.1234,5.49868,460,884
1608,116,4,4.0309024,5.052064,462,610
1609,98,4,3.5116913,4.61077,462,610
1636,98,6,2.9164848,5.7965136,611,742
1641,138,4,3.0714142,5.8137484,606,748
1728,120,6,2.7367287,4.9926805,280,630
1729,124,6,2.3310668,5.439156,280,630
1796,88,6,4.0217705,5.677794,978,875
1797,93,8,3.1465168,5.339544,977,875
1817,157,6,3.7849362,7.021331,418,535
1818,152,6,3.2129338,5.914719,418,535
1827,133,3,2.3485193,4.073213,236,794
1854,112,2,0.7991521,1.5983042,384,186
1873,91,6,3.3994257,5.7110353,997,878
1874,95,6,2.9743223,6.181925,997,878
1899,146,6,3.7010558,7.241196,361,714
1914,92,6,2.8292806,5.0927052,384,474
2049,128,6,2.6117942,4.9914293,671,220
2050,132,6,2.6580248,5.238443,671,220
2081,96,3,1.521978,4.565934,642,772
2089,153,6,3.7945032,6.219856,1010,1110
2090,155,6,3.9542534,5.520294,1010,1110
2126,84,4,4.5233483,5.186773,1200,670
2137,165,6,4.15111,6.858356,520,1091
2191,106,4,2.98394,4.5193653,434,556
2207,142,6,3.079996,6.0834703,391,610
2403,99,6,4.5785966,6.6269164,998,713
2421,83,6,2.974324,5.4365125,661,450
2422,84,6,3.4034948,5.1937723,661,450
2426,137,6,2.7722032,4.9545755,754,418
2428,143,4,5.0184836,5.5498524,684,826
2429,129,4,3.828073,4.5936875,684,826
2450,129,2,3.3875175,4.438816,1068,513
2451,174,8,4.0703177,6.2079663,1069,513
2452,145,4,4.151057,4.9111094,1068,512
2493,151,4,4.4062996,5.8361583,878,790
2494,127,4,3.2993097,4.9051685,878,790
2568,80,6,3.3998668,4.792583,527,408
2569,79,6,3.5084307,4.6779075,527,408
2675,89,6,2.3313177,5.202114,858,330
2676,90,6,2.4522207,5.3292356,858,330
2729,113,7,3.6513247,5.6051035,801,476
2730,105,7,3.539496,4.7086506,801,476
2887,106,1,0.0,0.0,1045,531
2960,81,6,2.0862584,5.099743,906,435
2961,82,6,2.2043545,4.9888024,906,435
2973,70,4,3.1187274,3.6142263,774,1064
3025,100,8,3.937055,5.5149407,143,582
3033,74,4,4.0300527,5.1683116,1020,848
3034,87,4,4.0370445,5.3005476,1020,848
3081,102,6,2.187781,6.379324,1166,694
3114,107,2,2.7066612,3.1276975,1240,876
3115,110,2,2.1103125,2.6529644,1240,876
3176,81,2,4.2368407,5.919969,1234,889
3177,124,8,2.8671322,5.705157,1235,889
3178,87,2,3.4337459,3.6083431,1234,889
3395,117,4,3.3369787,4.783003,1222,750
3396,132,4,5.117797,6.786644,1222,750
3450,135,6,2.2800927,5.9633193,428,515
3451,136,6,2.8781826,6.108796,428,515
3454,50,1,2.5825152,2.5825152,709,762
3454,59,4,2.2890477,3.638999,660,764
3455,84,4,2.6498454,4.239753,590,720
3455,54,1,0.70662546,0.70662546,626,751
3455,98,2,4.7108364,5.7707744,656,764
3455,58,1,3.5331273,3.5331273,709,762
3455,82,4,5.8591027,7.655109,660,764
3456,81,11,3.8684707,8.557526,590,719
3456,70,2,4.4546022,5.0407343,595,724
3456,73,1,3.2823386,3.2823386,626,751
3456,88,2,4.278763,5.1579604,656,764
3456,61,4,3.2823386,4.337376,660,764
3457,75,11,2.8428707,5.7605534,590,719
3457,77,2,4.467368,4.820055,595,724
3479,133,4,3.8165307,5.4521866,250,988
3480,147,4,3.8382936,4.8356457,250,988
3483,106,6,2.9297154,5.819021,1233,892
3484,112,6,2.9533045,5.704328,1233,892
3502,86,6,3.506581,4.864621,708,1169
3503,103,6,5.348574,7.9013033,708,1169
3517,121,8,2.402451,5.9605117,484,1061
3518,145,6,3.0481408,5.120877,558,844
3518,88,4,3.2919927,4.9989514,484,1060
3582,134,6,1.8805555,5.1715274,422,1120
3583,133,6,1.7221247,5.0489564,422,1120
3644,125,6,2.9037154,5.20249,634,902
3645,128,6,2.5828211,5.4481378,634,902
3672,92,6,2.3952155,5.2817574,413,1024
3673,88,6,2.7885025,6.1511083,413,1024
3691,90,2,2.5404856,3.8417099,366,179
3717,125,6,3.3618534,5.512604,496,768
3718,121,6,3.6167538,5.5192084,496,768
3748,147,6,3.1730978,4.5446954,800,403
3749,152,6,3.6436813,5.5269322,800,403
3756,98,8,3.7457502,5.993201,397,873
3757,101,8,3.8274088,6.123854,397,873
3806,149,3,2.4584115,5.150957,397,758
3807,151,3,2.5319448,5.3755136,397,758
3836,143,6,3.156699,4.880295,348,634
3889,128,3,1.9432126,4.979482,492,541
3890,140,3,3.8883078,6.5615196,492,541
3959,140,6,3.4140394,5.185882,195,746
3991,141,6,2.7244227,4.9985275,562,369
3992,136,6,2.974301,5.137429,562,369
4007,75,6,3.2146938,5.235358,480,550
4008,76,6,3.483658,5.6380258,480,550
144,108,6,7.0212836,8.67335,562,408
145,79,11,2.5887053,5.9152536,562,408
145,66,7,2.6137166,4.8147416,719,751
146,76,9,2.187356,4.8183017,719,752
147,134,6,2.9047654,4.8031554,762,348
147,85,13,2.354074,5.6265535,719,752
148,89,12,3.2880297,6.7130604,720,752
149,79,11,2.286151,5.6035547,719,753
150,96,3,2.732022,5.1908417,794,229
150,82,8,3.1759753,6.147049,719,753
151,134,6,2.9547732,5.7277145,794,230
151,93,13,2.4442441,6.1368365,719,754
152,81,9,2.4305496,4.891292,719,754
153,61,2,1.5640486,1.6320508,589,356
153,131,6,2.1080656,4.760148,952,607
153,81,8,2.56708,4.6241436,719,754
153,73,6,2.6747496,4.6241436,585,760
154,130,6,2.5291305,4.200163,952,607
154,67,6,1.9194294,5.013098,719,754
155,63,2,2.4396482,2.71072,720,754
158,80,2,2.1244724,4.2489448,720,756
159,80,6,1.7639159,4.762573,531,202
159,80,6,2.3371885,4.762573,720,756
160,80,6,1.9764336,4.8752027,531,202
161,103,2,3.0391455,3.1712823,696,710
162,110,2,3.8209026,4.084413,696,710
168,82,3,2.6075246,4.9542966,684,694
169,85,4,2.8595033,4.939142,684,692
170,79,4,2.82443,5.4540715,684,692
172,100,4,3.9903922,4.5419097,270,586
173,90,4,3.010085,4.401845,270,586
173,107,6,1.9851456,5.049175,679,686
174,96,1,1.289657,1.289657,704,721
174,91,6,2.428854,5.674491,626,868
175,92,1,0.77464837,0.77464837,704,721
180,78,4,3.7121277,5.457145,670,240
195,104,2,2.2286987,2.9715984,682,698
196,106,2,2.1666641,3.219044,682,698
216,118,4,3.0312128,4.2436976,1002,586
217,140,4,4.0597525,4.931847,1002,586
222,135,6,2.0840502,5.2398973,793,490
224,95,2,2.796266,3.2127314,684,707
228,102,4,3.9151013,5.6946926,678,700
229,107,4,4.328664,6.04827,678,700
241,105,4,3.5141077,4.8429723,678,704
242,104,4,3.5681822,5.3080397,678,704
144,108,6,7.0212836,8.67335,562,408
144,95,7,6.5885997,8.67335,561,408
144,75,3,3.8089314,3.9924943,1039,630
144,108,3,4.4514017,5.3692164,696,706
144,120,3,3.7171497,3.9924943,929,792
145,98,2,2.682499,3.714229,616,77
145,93,1,1.1005124,1.1005124,726,164
145,59,4,3.507883,4.5396132,476,168
145,71,6,1.7883325,4.8147416,1004,189
145,118,6,2.2010248,3.9893572,436,256
145,135,6,2.5220075,3.9893572,887,296
145,102,8,2.5277395,3.9893572,821,317
145,79,14,2.0634606,5.9152536,562,408
145,66,6,1.5590591,4.126921,636,408
145,103,6,1.9258965,3.714229,263,480
145,102,4,2.9576268,4.5396132,784,508
145,69,4,2.3041978,4.126921,782,534
145,83,6,3.507883,5.5025616,726,558
145,131,4,4.0925303,4.6771774,1016,556
145,75,6,2.7971356,5.2274337,840,628
145,85,6,2.7742083,6.603074,496,645
145,124,6,1.9488239,4.2644854,938,688
145,110,8,1.3412495,4.6771774,696,706
145,126,4,3.163973,3.8517933,530,738
145,60,6,2.1551702,4.6771774,139,746
145,67,11,2.6762457,4.8147416,720,751
145,110,6,2.682499,4.2644854,882,751
145,89,2,1.3068584,2.3385887,454,910
146,97,2,2.890981,3.992307,616,77
